text,vader_compound,negatividad,target,categoria
wreck? wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck?,-0.9883,0.99415,0,no desastre
"@Abu_Baraa1 Suicide bomber targets Saudi mosque at least 13 dead - Suicide bomber targets Saudi mosque at least 13 dead
This is ridiculous",-0.9686,0.9843,1,desastre
Suicide bomber kills 15 in Saudi security site mosque - A suicide bomber killed at least 15 people in an attack on... http://t.co/FY0r9o7Xsl,-0.9623,0.98115,1,desastre
? 19th Day Since 17-Jul-2015 -- Nigeria: Suicide Bomb Attacks Killed 64 People; Blamed: Boko Haram [L.A. Times/AP] | http://t.co/O2cdKpSDfp,-0.9595,0.97975,1,desastre
"17 killed in SÛªArabia mosque suicide bombing

A suicide bomber attacked a mosque in Aseer south-western Saudi... http://t.co/pMTQhiVsXX",-0.9552,0.9776,1,desastre
"at the lake 
*sees a dead fish*
me: poor little guy i wonder what happened
ashley: idk maybe it drowned
  wtf ????????",-0.9549,0.9774499999999999,0,no desastre
illegal alien released by Obama/DHS 4 times Charged With Rape &amp; Murder of Santa Maria CA Woman Had Prior Offenses  http://t.co/MqP4hF9GpO,-0.9538,0.9769,1,desastre
Bomb Crash Loot Riot Emergency Pipe Bomb Nuclear Chemical Spill Gas Ricin Leak Violence Drugs Cartel Cocaine Marijuana Heroine Kidnap Bust,-0.9524,0.9762,1,desastre
Bomb head? Explosive decisions dat produced more dead children than dead bodies trapped tween buildings on that day in September there,-0.95,0.975,1,desastre
@cspan #Prez. Mr. President you are the biggest terrorist and trouble maker in the world. You create terrorist you sponsor terrorist.,-0.9493,0.97465,1,desastre
