text,vader_compound,negatividad,target,categoria
"Check out 'Want Twister Tickets AND A VIP EXPERIENCE To See SHANIA? CLICK HERE:' at  http://t.co/3GEROQ49o1
I would Love Love Love!! To win",0.973,0.013500000000000012,0,no desastre
@thoutaylorbrown I feel like accidents are just drawn to you but I'm happy you've survived all of them. Hope you're okay!!!,0.9564,0.021799999999999986,0,no desastre
TodayÛªs storm will pass; let tomorrowÛªs light greet you with a kiss. Bask in this loving warmth; let your soul return to bliss.,0.9471,0.026449999999999974,1,desastre
@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0.9423,0.028849999999999987,0,no desastre
Free Ebay Sniping RT? http://t.co/B231Ul1O1K Lumbar Extender Back Stretcher Excellent Condition!! ?Please Favorite &amp; Share,0.9376,0.031200000000000006,0,no desastre
@Raishimi33 :) well I think that sounds like a fine plan where little derailment is possible so I applaud you :),0.9356,0.032200000000000006,1,desastre
I'm not a Drake fan but I enjoy seeing him body-bagging people. Great marketing lol.,0.9345,0.03275,0,no desastre
@duchovbutt @Starbuck_Scully @MadMakNY @davidduchovny yeah we survived 9 seasons and 2 movies. Let's hope for the good. There's hope ??????,0.9344,0.032799999999999996,0,no desastre
Super sweet and beautiful :) https://t.co/TUi9uwBvVp,0.93,0.034999999999999976,0,no desastre
#MeditationByMSG 45600 ppl got method of meditation in U.P &amp;got deluge of divine blessing 4 happy n peaceful life. http://t.co/VMf5LnxVzC,0.9287,0.035650000000000015,0,no desastre
